x,y,time,value
108,125,0,1
108,121,216,1
107,116,378,1
103,113,584,1
99,113,775,1
95,116,968,1
92,120,1080,1
89,124,1192,1
87,130,1298,1
87,133,1320,1
86,137,1371,1
86,140,1453,1
87,144,1496,1
89,148,1738,1
93,149,1760,1
97,152,1907,1
101,155,2024,1
238,93,13391,1
238,89,13422,1
238,86,13447,1
238,81,13486,1
237,77,13545,1
232,75,13673,1
229,84,13728,1
224,88,13775,1
222,83,13854,1
221,79,13879,1
220,76,13895,1
219,73,13911,1
217,70,13927,1
216,66,13943,1
215,61,13951,1
214,58,13961,1
213,55,13970,1
210,50,13989,1
208,47,14000,1
204,44,14009,1
201,43,14023,1
196,40,14054,1
192,37,14087,1
189,36,14103,1
186,35,14119,1
182,32,14150,1
178,26,14191,1
176,22,14215,1
177,16,14238,1
178,11,14247,1
183,5,14262,1
186,0,14272,1
