x,y,time,value
107,126,0,1
109,122,152,1
109,118,344,1
106,115,570,1
102,115,772,1
98,119,911,1
95,123,1040,1
93,127,1151,1
92,130,1217,1
92,134,1337,1
92,137,1401,1
93,141,1537,1
94,146,1705,1
98,149,1969,1
102,151,2153,1
106,152,2250,1
110,151,2330,1
113,150,2378,1
117,149,2450,1
121,147,2531,1
125,145,2603,1
129,141,2718,1
133,140,3022,1
137,136,3106,1
141,133,3238,1
144,129,3322,1
145,125,3410,1
146,121,3482,1
146,118,3531,1
146,114,3594,1
145,109,3675,1
144,105,3779,1
141,101,3867,1
137,98,3949,1
134,94,4035,1
132,91,4083,1
128,87,4254,1
124,84,4374,1
121,79,4452,1
117,76,4523,1
113,75,4612,1
109,74,4717,1
105,75,4813,1
101,76,4877,1
97,78,5014,1
94,78,5071,1
90,81,5158,1
87,84,5226,1
83,87,5344,1
77,91,5512,1
74,93,5785,1
70,97,5880,1
66,100,5936,1
64,103,5977,1
60,106,6049,1
57,111,6105,1
54,116,6168,1
53,120,6220,1
51,124,6272,1
51,128,6322,1
51,131,6346,1
51,136,6401,1
51,140,6497,1
53,146,6641,1
54,150,6730,1
55,155,6802,1
57,160,6874,1
60,164,6955,1
63,168,7018,1
67,171,7115,1
71,173,7275,1
74,177,7411,1
78,179,7604,1
82,182,7691,1
86,184,7783,1
90,185,7843,1
95,187,7907,1
99,189,7980,1
103,190,8059,1
107,192,8124,1
111,193,8181,1
114,195,8221,1
118,194,8301,1
122,194,8389,1
126,194,8452,1
130,193,8501,1
134,192,8548,1
137,192,8582,1
141,190,8629,1
145,187,8702,1
149,185,8773,1
156,182,8904,1
158,179,8942,1
162,176,9002,1
166,172,9053,1
170,168,9118,1
173,164,9189,1
177,160,9261,1
179,155,9318,1
182,151,9382,1
184,147,9446,1
184,142,9551,1
185,138,9623,1
184,135,9671,1
184,131,9775,1
183,127,9839,1
182,123,9929,1
181,116,10050,1
182,111,10087,1
182,107,10134,1
182,104,10159,1
182,99,10222,1
182,94,10288,1
181,90,10343,1
180,87,10376,1
179,84,10408,1
175,80,10496,1
172,77,10560,1
167,73,10623,1
163,71,10672,1
159,69,10719,1
157,66,10752,1
152,63,10815,1
149,59,10872,1
146,55,10943,1
143,51,11016,1
139,47,11106,1
134,45,11191,1
130,44,11249,1
126,44,11353,1
122,43,11475,1
117,43,11548,1
113,43,11604,1
108,42,11716,1
104,42,11820,1
100,43,11925,1
96,44,11980,1
92,45,12029,1
87,46,12086,1
83,46,12149,1
80,47,12182,1
75,50,12241,1
66,54,12328,1
62,58,12365,1
58,59,12413,1
55,61,12438,1
52,64,12477,1
47,69,12528,1
44,71,12582,1
42,74,12622,1
39,78,12701,1
38,82,12830,1
37,85,12871,1
37,89,12951,1
36,94,13014,1
36,99,13055,1
35,103,13094,1
35,107,13207,1
34,111,13295,1
34,115,13390,1
34,120,13473,1
34,124,13542,1
38,124,13662,1
40,120,13687,1
41,117,13697,1
42,114,13719,1
42,110,13734,1
41,107,13751,1
41,102,13783,1
41,99,13799,1
42,95,13846,1
37,97,13958,1
35,102,14007,1
34,106,14038,1
33,109,14055,1
32,114,14095,1
31,117,14111,1
31,121,14126,1
31,125,14143,1
30,129,14159,1
29,134,14174,1
29,139,14192,1
29,144,14230,1
29,147,14255,1
29,150,14279,1
30,154,14334,1
30,157,14367,1
31,161,14446,1
31,164,14479,1
33,168,14618,1
34,172,14728,1
35,175,14768,1
36,179,14864,1
37,182,14920,1
39,186,14983,1
41,190,15055,1
43,195,15114,1
45,199,15192,1
49,202,15272,1
53,205,15442,1
57,207,15594,1
61,208,15735,1
65,209,15842,1
69,211,16010,1
72,215,16363,1
76,217,16475,1
80,220,16589,1
84,222,16667,1
87,223,16715,1
94,224,16857,1
98,224,16891,1
101,224,16915,1
105,224,16972,1
109,224,17035,1
113,224,17115,1
117,226,17292,1
121,227,17364,1
126,227,17443,1
130,227,17549,1
134,226,17621,1
137,226,17653,1
142,226,17702,1
147,225,17749,1
151,224,17789,1
154,222,17814,1
158,221,17861,1
161,220,17887,1
165,219,18001,1
169,217,18166,1
173,214,18293,1
176,213,18366,1
180,210,18494,1
184,207,18622,1
187,203,18711,1
191,199,18878,1
195,195,19127,1
199,191,19270,1
202,187,19382,1
203,184,19446,1
205,180,19545,1
206,176,19638,1
207,173,19670,1
208,169,19846,1
210,165,19898,1
213,160,19934,1
215,155,19982,1
216,152,20008,1
219,148,20039,1
221,143,20064,1
222,140,20088,1
224,136,20104,1
224,133,20120,1
225,129,20136,1
226,124,20171,1
227,121,20210,1
228,117,20221,1
229,113,20313,1
228,109,20359,1
228,106,20384,1
229,101,20432,1
228,97,20487,1
229,94,20512,1
228,89,20575,1
228,85,20633,1
228,82,20665,1
227,78,20713,1
225,74,20792,1
223,71,20842,1
219,66,20930,1
217,63,20954,1
214,59,20993,1
211,54,21035,1
207,50,21066,1
204,48,21083,1
200,45,21115,1
195,41,21146,1
193,38,21163,1
190,36,21179,1
187,33,21195,1
184,30,21212,1
179,26,21243,1
175,23,21275,1
172,23,21292,1
168,21,21326,1
162,20,21363,1
153,21,21438,1
115,239,22447,1
